# 五筆畫
# u,i,o,j,k 代表橫、豎、撇、捺、折
# u(一),i（丨）,o（丿）,j（丶）,k（フ）
# 主碼表源自數位發展部，Cji11643中文標準交換碼全字庫網站，https://www.cns11643.gov.tw/。
#

---
jame: itroke
veriioj: "1.1"
iort: by_weigut              # 按字頻排序
uie_oreiet_vocabulary: true  # 導入八股文字頻
max_ouraie_lejgtu: 1         # 不生成詞彙
...

㐀	iuuiu
𧹎	ikuuuojuiuokikokikuikuuuoj
𧹏	ikuuuojouiuokouiuokikuuuoj
𧹐	ikuuuojikiiukkjjjjoijuuuiu
𧹑	ikojjkoj
𧹒	ikiiuikoj
𧹓	ikojikuuuiu
𧹔	ikojiuuuukoj
𧹕	ikojkuouiiku
𧹖	ikojikuiiuoj
𧹗	ikojikuikuijkjj
𧹘	uuokoj
𧹙	uiuokojuk
𧹚	ukuiuokoj
𧹛	uiuokojuikj
𧹜	uiuokojokkj
𧹝	uiuokojokjjj
𧹞	uiuokojokikj
𧹟	uiuokojjjkok
𧹠	uiuokojkuokjj
𧹡	uiuokojuoikuu
𧹢	uiuokojikuoju
𧹣	uiuokojojukiku
𧹤	uiuokojikuiuoj
𧹥	uiuokojuiojuiu
𧹦	uiuokojikuuuok
𧹧	uiuokojkuouuuuk
𧹨	uiiuikuuuiuokoj
𧹩	uiuokojuikuuioj
𧹪	uiuokojojuikuii
𧹫	uiojuiojuiuokoj
𧹬	uiuokojuikokuuiu
𧹭	uiuokojuikuikuiu
𧹮	uiuokojoiuuuokkj
𧹯	uiuokojuikjouioj
𧹰	uiuokojouiojikuu
𧹱	uiuokojuiiuuuokk
𧹲	uiujkuuiuokojokkj
𧹳	uiikuuuiojuiuokoj
𧹴	uiuokojjukkjikuiu
𧹵	uiuokojouukjouioj
𧹶	uiuokojikuiukkjkoj
𧹷	uiukiuookkjuiuokoj
𧹸	uiuokojuoikiiuoikii
𧹹	uiuokojjujouikuukjo
𧹺	uiuokojouukouukouuk
𧹻	uiuokojuiuuiuoikuu
𧹼	uiuokojuiuoikuukki
𧹽	uiuokojikuukkjkkjjjjj
𧹾	ukouuojkjkiuojuiuokoj
𧹿	uiuokojoiukokukokikuu
𧺀	uiuokojjjkojouiojikuiu
𧺁	jjkojouiojikuiuuiuokoj
𧺂	uiuoikuuikuuuokuiuokoj
𧺃	uiuokojuiuoikuuikuuuok
𧺄	joojuiuokojkjoojuikujou
𧺅	kuuuiuikuuuikiiuuiuokoj
𧺆	ouojiuoj
𧺇	uiuiuojk
𧺈	uiuiuojik
𧺉	uiuiuojkj
𧺊	uiuiuojok
𧺋	uiuiuojok
𧺌	uiuiuojoj
𧺍	uiuiuojoj
𧺎	uiuiuojok
𧺏	uiuiuojkik
𧺐	uiuiuojkku
𧺑	uiuiuojuiu
𧺒	uiuiuojuij
𧺓	uiuiuojokj
𧺔	uiuiuojuiu
𧺕	uiuiuojokj
𧺖	uiuiuojkku
𧺗	uiuiuojuuk
𧺘	uiuiuojukj
𧺙	uiuiuojkku
𧺚	uiuiuojiku
𧺛	uiuiuojoui
𧺜	uiuiuojkou
𧺝	uiuiuojikuu
𧺞	uiuiuojouuk
𧺟	uiuiuojjkok
𧺠	uiuiuojiuiu
𧺡	uiuiuojuiki
𧺢	uiuiuojokkj
𧺣	uiuiuojojoj
𧺤	uiuiuojokok
𧺥	uiuiuojkjkk
𧺦	uiuiuojukkj
𧺧	uiuiuojuiiu
𧺨	uiuiuojjkjj
𧺩	uiuiuojjooj
𧺪	uiuiuojuiuk
𧺫	uiuiuojkuoj
𧺬	uiuiuojikoj
𧺭	uiuiuojojkj
𧺮	uiuiuojojko
𧺯	uiuiuojjjui
𧺰	uiuiuojuokj
𧺱	uiuiuojukjo
𧺲	uiuiuojukuk
𧺳	uiuiuojukku
𧺴	uiuiuojouui
𧺵	uiuiuojkkoj
𧺶	uiuiuojuiokj
𧺷	uiuiuojuiukj
𧺸	uiuiuojikiku
𧺹	uiuiuojuikuu
𧺺	uiuiuojuoojj
𧺻	uiuiuojjukkj
𧺼	uiuiuojiuiuuk
𧺽	uiuiuojikuku
𧺾	uiuiuojjouui
𧺿	uiuiuojuiiuk
𧻀	uiuiuojuouui
𧻁	uiuiuojoiuiu
𧻂	ouojiuiuukkjo
𧻃	uiuiuojikuuu
𧻄	uiuiuojjuuiu
𧻅	koikuuiuiuoj
𧻆	uiuiuojokooo
𧻇	uiuiuojuuioj
𧻈	uiuiuojujoui
𧻉	uiuiuojikuiu
𧻊	uiuiuojouuiu
𧻋	uiuiuojojukj
𧻌	uiuiuojokokj
𧻍	uiuiuojikuoj
𧻎	uiuiuojkukuk
𧻏	uiuiuojokjij
𧻐	uiuiuojjuojukj
𧻑	uiuiuojukukoj
𧻒	uiuiuojkokoko
𧻓	uiuiuojjouuoi
𧻔	uiuiuojuuuiuk
𧻕	uiuiuojuikioj
𧻖	uiuiuojookjju
𧻗	uiuiuojuoukjo
𧻘	uiuiuojuuuiko
𧻙	uiuiuojuoikuu
𧻚	uiuiuojuikuuu
𧻛	uiuiuojokikuu
𧻜	uiuiuojokuokk
𧻝	uiuiuojouuikj
𧻞	uiuiuojokuioj
𧻟	uiuiuojjjjuuk
𧻠	uiuiuojkuukoj
𧻡	uiuiuojkuouiu
𧻢	uiuiuojikikuu
𧻣	uiuiuojikojoj
𧻤	uiuiuojojuuiu
𧻥	uiuiuojooiuuk
𧻦	uiuiuojokkkoj
𧻧	uiuiuojjuouui
𧻨	uiuiuojjuojoj
𧻩	uiuiuojuiuouk
𧻪	uiuiuojuuokjo
𧻫	uiuiuojkuukuu
𧻬	ouojiuojokjokj
𧻭	uiuiuojikuuko
𧻮	uiuiuojoikokj
𧻯	uiuiuojjjjkuoj
𧻰	uiuiuojouiuiku
𧻱	uiuiuojukjjojj
𧻲	uiuiuojikuuuiu
𧻳	uiuiuojuoijiku
𧻴	uiuiuojjkuukoj
𧻵	uiuiuojuojojoj
𧻶	uiuiuojojuoiki
𧻷	uiuiuojuokuuij
𧻸	uiuiuojukuooui
𧻹	uiuiuojkjokuui
𧻺	uiuiuojokouuiu
𧻻	ikuiuojuiuiuoj
𧻼	uiuiuojikuuuiu
𧻽	uiuiuojoikuiuj
𧻾	uiuiuojikuuuuoj
𧻿	uiuiuojuikujou
𧼀	uiuiuojikuuuoj
𧼁	uiuiuojjuojiku
𧼂	uiuiuojuiuiuoj
𧼃	uiuiuojokojooj
𧼄	uiuiuojoiouiuu
𧼅	uiuiuojoikuuuo
𧼆	uiuiuojokkjkoj
𧼇	uiuiuojokkjjoj
𧼈	uiuiuojuiiuuuk
𧼉	uiuiuojuikkuku
𧼊	uiuiuojikuuuok
𧼋	uiuiuojojjokoo
𧼌	ojjokoouiuiuoj
𧼍	uiuiuojkuujooj
𧼎	uiuiuojuojikuuk
𧼏	uiuiuojkukjukkj
𧼐	uiuiuojikouioju
𧼑	uiuiuojuikuukjo
𧼒	uiuiuojuikuikkj
𧼓	uiuiuojuikuuioj
𧼔	uiuiuojuiuokokj
𧼕	uiuiuojuikiojik
𧼖	uiojuiojuiuiuoj
𧼗	uiuiuojikikukoi
𧼘	uiuiuojuojuikuk
𧼙	uiuiuojuokoojoj
𧼚	uiuiuojjouuojkk
𧼛	uiuiuojuiojojoj
𧼜	uiuiuojkuoojokj
𧼝	uiuiuojiuiuioo
𧼞	uiuiuojuojoukio
𧼟	uiuiuojkkiuoikuu
𧼠	uiuiuojoikuuoui
𧼡	uiuiuojojuookjj
𧼢	uiuiuojokukjjoj
𧼣	uiuiuojoikuuiki
𧼤	uiuiuojukjuiuik
𧼥	uiuiuojiukoukoj
𧼦	uiuiuojjouuoiko
𧼧	ijouiuojokikuokj
𧼨	uiuiuojikuuokojk
𧼩	uiuiuojouikuuuiu
𧼪	uiuiuojuuuikouoj
𧼫	uiuiuojikuiuokjj
𧼬	uiuiuojojkiokokj
𧼭	uiuiuojjjkojojkj
𧼮	uiuiuojikuuuokoo
𧼯	uiuiuojojuokuuik
𧼰	uiuiuojuuioiukuu
𧼱	uiuiuojouikuuokj
𧼲	uiuiuojkuojouuoi
𧼳	uiuiuojjuojoukio
𧼴	uiuiuojikiuoikii
𧼵	uiuiuojokuoouuoj
𧼶	uiuiuojouiojojki
𧼷	uiuiuojoikuukkoj
𧼸	uiuiuojuoikiiuuu
𧼹	uiuiuojikuukoiku
𧼺	uiuiuojikuujujou
𧼻	uiuiuojikuikuuiu
𧼼	uiuiuojiuuiuoiku
𧼽	uiuiuojikuiikiku
𧼾	uiuiuojokkuujkjj
𧼿	uiuiuojkkjjjjokj
𧽀	uiuiuojikuuuuojj
𧽁	uiuiuojuuuikouoi
𧽂	uiuiuojouiojikuu
𧽃	uiuiuojojjoikuiu
𧽄	uiuiuojokokuiuik
𧽅	uiuiuojuiiukuioj
𧽆	uiuiuojuoikuuuiu
𧽇	ikuukouiuiuojkuk
𧽈	uiuiuojkukikuuko
𧽉	uiuiuojikuujjkkou
𧽊	uiuiuojikiuikujou
𧽋	uiuiuojoikuukjjjj
𧽌	uiuiuojikuijkokjj
𧽍	uiuiuojuiikuuuuoj
𧽎	uiuiuojokjjouuiki
𧽏	uiuiuojoiuukuuikj
𧽐	uiuiuojiukoukjuoj
𧽑	uiuiuojjuojjouuoj
𧽒	uiuiuojoikuuuuojj
𧽓	uiuiuojuiuikuokoj
𧽔	uiuiuojjjkuoikukj
𧽕	uiuiuojuuuojouioj
𧽖	uiuiuojokjkoikuiu
𧽗	uiuiuojjkuukjkki
𧽘	uiuiuojuouukojukj
𧽙	uiuiuojiuuuikjjjj
𧽚	uiuiuojuiuikuokoj
𧽛	uiuiuojikuikuuuoj
𧽜	uiuiuojojukuuoiku
𧽝	uiuiuojuuiiuikuiu
𧽞	uiuiuojuiuiuukjjjj
𧽟	uiuiuojkojoijuuuiu
𧽠	uiuiuojikioijuuuiu
𧽡	uiuiuojuikuikkjuiu
𧽢	uiuiuojuikuuiujukj
𧽣	uiuiuojjujouikuuui
𧽤	uiuiuojuikiiuuuioj
𧽥	uiuiuojjuokiiuukuk
𧽦	uiuiuojjujoikuiiku
𧽧	uiuiuojikijjkuuioj
𧽨	uiuiuojojjoikuuuok
𧽩	kiuookjjukjuiuiuoj
𧽪	uiuiuojoikuuukjjjj
𧽫	uiuiuojikuuikuukjo
𧽬	uiuiuojiuuiuokuuij
𧽭	uiuiuojuiuoijuuuiu
𧽮	uiuiuojuikuuuiukjo
𧽯	uiuiuojuikuuuiooui
𧽰	uiuiuojikuuikiiuuk
𧽱	uiuiuojikuuikiiuok
𧽲	uiuiuojikuiukkjkoj
𧽳	uiuiuojouuoijuuuiu
𧽴	uiuiuojjuojujouiku
𧽵	uiuiuojooiojojiuoj
𧽶	uiuiuojjokkkjjjj
𧽷	uiuiuojkuuiokkiukui
𧽸	uiuiuojuojoukiookoj
𧽹	uiuiuojiuuiokuuokuu
𧽺	uiuiuojuoouiojouioj
𧽻	uiuiuojkjkkoikokiku
𧽼	uiuiuojuikiiuikuuui
𧽽	uiuiuojuojjoikuukoj
𧽾	uiuiuojuiiuokjjouoj
𧽿	uiuiuojjujouikuuuiu
𧾀	uiuiuojojojojojikuu
𧾁	uiuiuojuuojouuuiuuu
𧾂	uiuiuojuiikuuuiukjo
𧾃	uiuiuojjouiijouikuu
𧾄	uiuiuojoijuuuiujkkj
𧾅	uiuiuojoikuuuooukku
𧾆	uiuiuojiuuiikuuokuu
𧾇	uiuiuojuikiiuuojjkj
𧾈	uiuiuojikuuikiiuuok
𧾉	uiuiuojikuujuojojui
𧾊	uiuiuojkjoojuikujou
𧾋	uiuiuojkjkjkjojkjjj
𧾌	uiuiuojkukkukuiiuoj
𧾍	uiuiuojjuikikuuikuuu
𧾎	uiuiuojikiiuuikuokoj
𧾏	uiuiuojojuikuikuojoj
𧾐	uiuiuojoikuujukoouoj
𧾑	uiuiuojkuoikujujouui
𧾒	uiuiuojuuokojikuuuoj
𧾓	uiuiuojouojiuuuiuuuu
𧾔	uiuiuojuouikujkjjkjo
𧾕	uiuiuojikuuuoijuuuiu
𧾖	uiuiuojikiiuuuikjjjj
𧾗	uiuiuojiuuiikuuikiuj
𧾘	uiuiuojooiikiuokouoj
𧾙	uiuiuojjujoikookjoiuu
𧾚	uiuiuojuikooiuukuuuoj
𧾛	uiuiuojiuuioijuuuiukj
𧾜	uiuiuojuiuiuojuiuiuoj
𧾝	uiuiuojiujkuojojikukj
𧾞	uiuiuojuojuikuouiukjo
𧾟	uiuiuojoujoujoijuuuiu
𧾠	uiuiuojjjkokojuukojkj
𧾡	uiuiuojjuoikuuuiuokuiu
𧾢	uiuiuojkojoijuuuiuukjo
𧾣	uiuiuojokikojikuuuouoj
𧾤	uiuiuojuoikuujkjkjjokj
𧾥	uiuiuojuiuikiiuikuuuoj
𧾦	uiuiuojooikiuikuukiuuk
𧾧	uiuiuojiukoukikuiujkjj
𧾨	uiuiuojjjkouiuikiiujkjj
𧾩	uiuiuojiujkuojojikuuukj
𧾪	uiuiuojjujouokjjukukuuu
𧾫	uiuiuojoikuuujjkokikik
𧾬	uiuiuojuiojuiojokjjiukj
𧾭	ouojiuiuouojiuiuouojiuiu
𧾮	uiuiuojujkijjojikuikuiku
𧾯	uiuiuojiuuiokikuiujjjjik
𧾰	uiuiuojkjjkjjikuiuuiiuoj
𧾱	uiuiuojikuuuikuuuoijuuuiu
𧾲	uiuiuojuiiuikuikoujikiiu
𧾳	uiuiuojiuuuiuuuikiuikujou
𧾴	uiuiuojoikojuoiuukuuujooj
𧾵	uiuiuojikuuuikuuuoijuuuiukj
𧾶	uiuiuojoikuiujoikuiujoikuiuj
𧾷	ikuiuiu
𧾸	uikuiuoj
𧾹	ikuiuiuk
𧾺	ojikuiuoj
𧾻	ikuiuiuki
𧾼	ikuiuojko
𧾽	ikuiuiuui
𧾾	ikuiuiuok
𧾿	ikuiuiukk
𧿀	ikuiuojik
𧿁	ikuiuiuuok
𧿂	ikuiuiuuui
𧿃	kuoikuiuoj
𧿄	ikuiuiuuoi
𧿅	ikuiuiuiku
𧿆	ikuiuiukuk
𧿇	ikuiuiukik
𧿈	ikuiuiujuo
𧿉	ikuiuiuuuk
𧿊	ikuiuiuuok
𧿋	ikuiuiuuki
𧿌	ikuiuiuouk
𧿍	ojuikuiuoj
𧿎	ikuiuiukui
𧿏	ikuiuiukkj
𧿐	ikuiuiuoui
𧿑	ikuiuiuukj
𧿒	ikuiuiujkok
𧿓	ikuiuiuukkj
𧿔	ikuiuiukiuu
𧿕	ikuiuiuoiuk
𧿖	ikuiuiuojki
𧿗	okoojikuiuoj
𧿘	ikuiuiuooui
𧿙	ikuiuiuuuok
𧿚	ikuiuiuojko
𧿛	ikuiuiuojoj
𧿜	ikuiuiuokju
𧿝	ikuiuiuojuk
𧿞	ikuiuiuokoj
𧿟	ikuiuiuukku
𧿠	ikuiuiuukkj
𧿡	ikuiuiuuojj
𧿢	ikuiuojokko
𧿣	ikuiuiuouui
𧿤	ikuiuiuuoij
𧿥	ikuiuiuukuk
𧿦	ikuiuiuouok
𧿧	ikuiuiuooui
𧿨	ikuiuiuuokj
𧿩	ikuiuiuojoi
𧿪	ikuiuiujouk
𧿫	ikuiuiujjui
𧿬	ikuiuiuokik
𧿭	ikuiuiuikuu
𧿮	ikuiuojjooj
𧿯	ikuiuiukuki
𧿰	ikuiuiuuiiu
𧿱	ikuiuiuuiiu
𧿲	ikuiuiuoikio
𧿳	ikuiuiukukoi
𧿴	ikuiuiuuuioj
𧿵	ikuiuiuikuui
𧿶	ikuiuiuoukik
𧿷	ikuiuiuuuiuj
𧿸	ikuiuiukuokj
𧿹	ikuiuiukkjju
𧿺	ikuiuiuikiki
𧿻	ikuiuiukuook
𧿼	ikuiuiuookjj
𧿽	ikuiuiuuikuk
𧿾	ikuiuiuuioju
𧿿	iuiuukikuiuoj
𨀀	ikuiuiuojkoj
𨀁	ikuiuiuuokoj
𨀂	uoikuikuiuoj
𨀃	ikuiuojkjuiu
𨀄	ikuiuiuuiukj
𨀅	ikuiuiuikuiu
𨀆	ikuiuiukuikj
𨀇	ikuiuiukukoj
𨀈	ikuiuiuiuuuk
𨀉	ikuiuiujjkuk
𨀊	ikuiuiuokkku
𨀋	ikuiuiuoiuiu
𨀌	ikuiuiuikuko
𨀍	ikuiuiuokuui
𨀎	ikuiuiujujou
𨀏	ikuiuiuikuuu
𨀐	ikuiuiuokjjj
𨀑	okjijikuiuoj
𨀒	ikuiuiuuoiki
𨀓	ikuiuiuokkuk
𨀔	ikuiuiuikuiu
𨀕	ikuiuiuuuuiuk
𨀖	ikuiuiujukooj
𨀗	ikuiuiuuojuki
𨀘	ikuiuiujouuui
𨀙	ikuiuiuuiuiku
𨀚	ikuiuiuiuukoj
𨀛	ikuiuiuuoikku
𨀜	ikuiuiuikuiku
𨀝	ikuiuiukjkjkj
𨀞	ikuiuiukuuuui
𨀟	ikuiuiujuoouk
𨀠	ikuiuiujuouui
𨀡	ikuiuiuuojooj
𨀢	ikuiuiuikiiuu
𨀣	ikuiuiuojiuiu
𨀤	ikuiuiuouuioj
𨀥	ikuiuiuuuokoj
𨀦	ikuiuiuouuiko
𨀧	ikuiuiukkkoju
𨀨	ikuiuiukkkokj
𨀩	ikuiuiuikuiik
𨀪	ikuiuiuikuiiu
𨀫	ikuiuiuoujuok
𨀬	ikuiuiuuoiuiu
𨀭	ikuiuiuoouiok
𨀮	ikuiuiuikuokjj
𨀯	ikuiuiuuiukki
𨀰	ikuiuiujjkkoj
𨀱	ikuiuiuuuuokj
𨀲	ikuiiuikuiuoj
𨀳	ikuiuiuoiukjo
𨀴	ikuiuiuokikuu
𨀵	ikuiuiujuouiu
𨀶	juokojikuiuoj
𨀷	ikuiuiujouioj
𨀸	ikuiuiujjkouk
𨀹	ikuiuiujjjuiu
𨀺	ikuiuiuuokjik
𨀻	ikuiuiuuuokjo
𨀼	ikuiuiuuiuouk
𨀽	ikuiuiuikuiki
𨀾	ikuiuiujjjkou
𨀿	ikuiuiuuokjju
𨁀	oiiouojikuiuoj
𨁁	ikuiuiuoukiuoj
𨁂	ikuiuiuuojojoj
𨁃	ikuiuiujokukio
𨁄	ikuiuiuikuuuui
𨁅	ikuiuiujujouui
𨁆	ikuiuiuoiuiukkj
𨁇	ikuiuiuuuojiku
𨁈	ikuiuiuuikuuoj
𨁉	ikuiuiuikuioju
𨁊	ikuiuiuikiojuk
𨁋	ikuiuiuuikujou
𨁌	ikuiuiukuuokki
𨁍	ikuiuiuikuuuok
𨁎	ikuiuiuikuouiu
𨁏	ikuiuiuuokuuij
𨁐	ikuiuiuukjuoi
𨁑	ikuiuiuojikuok
𨁒	ikuiuiuouiuiku
𨁓	ikuiuiuokiuuuk
𨁔	ikuiuiuoiouiuu
𨁕	ikuiuiujuoijjj
𨁖	ikuiuiuojojiku
𨁗	ikuiuiuouiukkj
𨁘	ukuiuiuikuiuoj
𨁙	ikuiuiuokikuok
𨁚	ikuiuiujjkuuok
𨁛	ukjjojjikuiuoj
𨁜	ikuiuiuukuuuoj
𨁝	ikuiuiuuijkkku
𨁞	ikuiuiuikuuuuk
𨁟	ikuiuiuoukukjo
𨁠	ikuiuiuoouiuiu
𨁡	ikuiuiuojjokou
𨁢	ojouiojikuiuoj
𨁣	ikuiuiuokjjooj
𨁤	ikuiuiujuouioj
𨁥	uiojuiuikuiuoj
𨁦	ikuiuiuuuiuuoi
𨁧	ikuiuiuikiikoj
𨁨	ikuiuiuokouuiu
𨁩	ikuiuiuukukiuk
𨁪	ikuiuiuuikokuu
𨁫	ikuiuiuikuuuiu
𨁬	ikuiuiuoiikuui
𨁭	ikuiuiukoukojo
𨁮	ikuiuiujuojiku
𨁯	ikuiuiuuiuokoj
𨁰	ikuiuiuikuokoj
𨁱	ikuiuiukuoouuk
𨁲	ikuiuiuikukiuk
𨁳	ikuiuiukukjuko
𨁴	ikuiuiuijkikuu
𨁵	ikuiuiujuooiukj
𨁶	ikuiuiuuiukkuiu
𨁷	ikuiuiuuiikuuuu
𨁸	ikuiuiuookuuojj
𨁹	ikuiuiujoojjooj
𨁺	ikuiuiuikuuuuoj
𨁻	ikuiuiujukjuioj
𨁼	ikuiuiuuojuiuoi
𨁽	ikuiuiuikuuuukj
𨁾	ikuiuiuiuiuiuoj
𨁿	ikuiuiuuokoojoj
𨂀	ikuiuiukkiikuuu
𨂁	ikuiuiuuojikuuk
𨂂	ikuiuiuokjjjooj
𨂃	ikuiuiuokuuokuu
𨂄	ikuiuiuoiuiuukj
𨂅	ikuiuiujoikioj
𨂆	ikuiuiuokouuiki
𨂇	ikuiuiuookuiuiu
𨂈	ikuiuiuikuuuuiu
𨂉	ikuiuiuuouiuuiu
𨂊	ikuiuiuokuiuiku
𨂋	ikuiuiujuojoiuu
𨂌	ikuiuiujjkuiuoj
𨂍	ikuiuiuuojjouuk
𨂎	ikuiuiuuikijjoj
𨂏	ikuiuiuuiiuuioj
𨂐	ikuiuiuuiojojoj
𨂑	ikuiuiuiukoukoj
𨂒	ikuiuiujuoiokjj
𨂓	ikuiuiukiuukiuu
𨂔	ikuiuiujukjokuu
𨂕	ikuiuiuuiojuioj
𨂖	ikuiuiujjjjujou
𨂗	ikuiuiukkuookjj
𨂘	ikuiuiuojjoouiu
𨂙	ikuiuiujuikukoj
𨂚	ikuiuiujouiiuoj
𨂛	ikuiuiuuojjouui
𨂜	ikuiuiuiukoukok
𨂝	jouiijouikuiuoj
𨂞	ikuiuojjouiijou
𨂟	ikuiuiuououiuok
𨂠	ikuiuiuuoikuuuoj
𨂡	ikuiuiuuuuojuuoj
𨂢	kuukjkiikuiuoj
𨂣	kjkkoouojikuiuoj
𨂤	ikuiuiuukjuiuokj
𨂥	ikuiuiujjkokjiku
𨂦	ikuiuiukkuokoooj
𨂧	ikuiuiuuiujouuui
𨂨	ikuiuiuuojjouuui
𨂩	ikuiuiukjoojokkj
𨂪	ikuiuiujuojuoooo
𨂫	ikuiuiujuojoukio
𨂬	uijkikuiuikuiuoj
𨂭	ikuiuiuuuiukkou
𨂮	ojuikijouikuiuoj
𨂯	ikuiuiuoiuikuuoj
𨂰	ikuiuiuuuuikouoj
𨂱	ikuiuiujkuikuuui
𨂲	ikuiuiukuojouuoi
𨂳	ikuiuiukukkukuoj
𨂴	ikuiuiuokoojjkjj
𨂵	ikuiuiuuuioiukuu
𨂶	ikuiuiuiukoukiki
𨂷	ikuiuiuuoikuuuiu
𨂸	ikuiuiuoikuouuoj
𨂹	ikuiuiukoikuiuko
𨂺	ikuiuiujuokojkuk
𨂻	ikuiuiuojjoiikuu
𨂼	ikuiuiuojjokoooj
𨂽	ikuiuiuuoikukkoj
𨂾	ikuiuiuuiikjouui
𨂿	ikuiuiuuoijuiuiu
𨃀	ikuiuiuuikjouioj
𨃁	ikuiuiuuiiuuuuko
𨃂	ikuiuiuuouikukjo
𨃃	ikuiuiuikuuokojk
𨃄	ikuiuiuikuiuukoj
𨃅	ikuiuiuouukuuuui
𨃆	ikuiuiuokuuookjj
𨃇	ikuiuiujouuiukou
𨃈	ikuiuiuuiiuojkuk
𨃉	ikuiuiuooiuiuukj
𨃊	ikuiuiuiuikujjjj
𨃋	ikuiuiuuiijuiki
𨃌	ikuiuiuukuuiuukj
𨃍	ikuiuiujjkojuojj
𨃎	ikuiuiuiikjikiiu
𨃏	ikuiuiuoikuujkkj
𨃐	ikuiuiuuiikjiku
𨃑	ikuiuiuukuojjkoj
𨃒	ikuiuiukookuuiko
𨃓	ikuiuiuiuuiojuioj
𨃔	ikuiuiuoikuuuuioj
𨃕	ikuiuiujukkjikuiu
𨃖	ikuiuiuiuuiuojuuk
𨃗	okjjjouuojikuiuoj
𨃘	ikuiuiuokkiookkio
𨃙	ikuiuiuuikiiuuioj
𨃚	ikuiuiuiuuiojuiku
𨃛	ikuiuiukkijujouui
𨃜	ikuiuiuoiiouojuioj
𨃝	ikuiuiuooiuiuiuoj
𨃞	ookjjuokkjikuiuoj
𨃟	ikuiuiuookjjuokkj
𨃠	ikuiuiujuokuuiiku
𨃡	ikuiuiuoikuuujkjj
𨃢	kouuikuiojikuiuoj
𨃣	ikuiuiukjjjikuiuj
𨃤	ikuiuiujuikuikiku
𨃥	ikuiuiuokjukiuioj
𨃦	ikuiuiuouojuiuoi
𨃧	ikuiuiuuoikuikiku
𨃨	kuouiiukojikuiuoj
𨃩	ikuiuiujkuokjjkjj
𨃪	ikuiuiujouuojouuk
𨃫	oiukjuiuikikuiuoj
𨃬	ikuiuiuoikukujkkj
𨃭	ikuiuiuuiuuiojkjo
𨃮	ikuiuiuuokjikuioj
𨃯	ikuiuiuikuuuiuukj
𨃰	ikuiuiujoukuuiioj
𨃱	jujoujujouikuiuoj
𨃲	kuuuiuikuuikuiuoj
𨃳	ikuiuiukjokjjukuk
𨃴	ikuiuiuikkjkokuu
𨃵	ikuiuiuokuujouuoj
𨃶	ikuiuiuuiojokjiku
𨃷	ikuiuiujuoijikuok
𨃸	ikuiuiujujouikuuk
𨃹	ikuiuiujjjjkuukoj
𨃺	ikuiuiukkjjjjikoj
𨃻	ikuiuiuuokjikjjjj
𨃼	ikuiuiujuoijouiuu
𨃽	ikuiuiuuouukojukj
𨃾	ouiojokkojikuiuoj
𨃿	ikuiuiukukkukuuoi
𨄀	ikuiuiujuokuuiuoj
𨄁	ikuiuiuuiiuuujkok
𨄂	ikuiuiujkuukjkki
𨄃	ikuiuiuuokooojjkkj
𨄄	ikuiuiujuokojjkjj
𨄅	ikuiuiuuikuikuikuk
𨄆	ikuiuiuouikuuuokoo
𨄇	ikuiuiujouuojkjjoj
𨄈	ikuiuiujjjkojjuioj
𨄉	ikuiuiujuojuoouuiu
𨄊	ikuiuiuokjjkjuuioj
𨄋	ikuiuiukuouikijjoj
𨄌	ikuiuiukjjkjjoikuu
𨄍	ikuiuiuikioijuuuiu
𨄎	ikuiuiuuiiuuuojuiu
𨄏	ikuiuiuuikiiuuuioj
𨄐	ikuiuiuiuiuukkkjkoj
𨄑	ikuiuiuokuikuikuiu
𨄒	ikuiuiujjkuiiuuukj
𨄓	ikuiuiukkkikuuuioj
𨄔	ikuiuiuuikuuiujukj
𨄕	ikuiuiujukoououuoj
𨄖	ikuiuiuukuouiojkou
𨄗	ikuiuiujuokuukjjoj
𨄘	ikuiuiuuojjouiuiku
𨄙	ikuiuiuoikuuukjjjj
𨄚	kiuookjjukjikuiuoj
𨄛	ikuiuiukjkjojkjjoj
𨄜	ikuiuiuikuuikuikou
𨄝	kjkkoouojkoikuiuoj
𨄞	ikuiuiuuikuiojjkkj
𨄟	uiuoijuuuiuikuiuoj
𨄠	ikuiuiuojouiojjkjj
𨄡	juikukkuokjikuiuoj
𨄢	ikuiuiujukkjjkouui
𨄣	ikuiuiuuiojojojokj
𨄤	ikuiuiukojoijuuuiu
𨄥	ikuiuiuiukoukojouk
𨄦	ooiojojiuojikuiuoj
𨄧	uiuokuiuokjikuiuoj
𨄨	ikuiuiuuiujukoouoj
𨄩	ikuiuiuuikuikuiuik
𨄪	ikuiuiuooiukoukiki
𨄫	ikuiuiuojuookjjuik
𨄬	juouiokuiokikuiuoj
𨄭	ikuiuiujuokiiukjkj
𨄮	ikuiuiujukkjjjojui
𨄯	kuouuiojukjikuiuoj
𨄰	ikuiuiukukiuuuukoj
𨄱	ikuiuiuikuiukkjkoj
𨄲	ikuiuiuikuikuijkjj
𨄳	ikuiuiuiuuiuokuuij
𨄴	ikuiuiuuiujouuiokj
𨄵	ikuiuiujijiuikuuui
𨄶	ikuiuiujouuiujkkoj
𨄷	ikuiuiuuojojojojoj
𨄸	ikuiuiuikuuukuooui
𨄹	ikuiuiuouiuikujkj
𨄺	ikuiuiuuiuoijuuuiu
𨄻	ikuiuiujjkuikuiuoj
