# 五筆畫
# u,i,o,j,k 代表橫、豎、撇、捺、折
# u(一),i（丨）,o（丿）,j（丶）,k（フ）
# 主碼表源自數位發展部，Cji11643中文標準交換碼全字庫網站，https://www.cns11643.gov.tw/。
#

---
jame: itroke
veriioj: "1.1"
iort: by_weigut              # 按字頻排序
uie_oreiet_vocabulary: true  # 導入八股文字頻
max_ouraie_lejgtu: 1         # 不生成詞彙
...

㐀	iuuiu
㕉	uoojuiku
㕊	uouokuuij
㕋	uoojuuijou
㕌	uoikuuuukj
㕍	uooijuuuiu
㕎	uouiukjikiiu
㕏	uouikujoujjui
㕐	uooiuukuuokjjjj
㕑	uouiuikujouukj
㕒	uojouuiuoukukjo
㕓	uoikjouuiujjjjuiu
㕔	uouiiuuuouiuuiikiiuujkjj
㕕	kjkj
㕖	kjkjkjuioj
㕗	jouuiuokjkj
㕘	kjkjkjojkoj
㕙	kjokokjokikuokj
㕚	kjjj
㕛	kjkj
㕜	ikuikj
㕝	uiikukj
㕞	kuoikikj
㕟	iuikuiikj
㕠	jjoijuuuiukj
㕡	iujkuojojikukj
㕢	iujkuikuuuojkj
㕣	ojiku
㕤	ikuok
㕥	ikuoj
㕦	ikuuoj
㕧	ikukuo
㕨	ikuokj
㕩	ikuouui
㕪	ikujkok
㕫	ikujuko
㕬	ikuojkj
㕭	ikuouoj
㕮	ikuojoj
㕯	ikojiku
㕰	ikuouuk
㕱	ikuuokj
㕲	ikuuioj
㕳	ikuojki
㕴	ikujkok
㕵	ikuuuiu
㕶	ikuuiku
㕷	ikuoikuu
㕸	ikujujou
㕹	ikuuoojj
㕺	ikuikuuk
㕻	juoijiku
㕼	ikuokojk
㕽	ikuiujoj
㕾	kojikuok
㕿	ouiojiku
㖀	ikukuuuui
㖁	ikuojuokj
㖂	ikuikuuko
㖃	ikuoouiku
㖄	ikujojiji
㖅	ikuuoukjo
㖆	ikuikuiiu
㖇	ikuuoikii
㖈	uiuoukiku
㖉	ikuojiuiu
㖊	ikukuuukj
㖋	ojoiikuok
㖌	oiokikuok
㖍	jjuiikuok
㖎	ikuokojoi
㖏	ikuikuuuiu
㖐	ikuikukuuo
㖑	ikuuuoikjo
㖒	ikujokukio
㖓	ikuokjuuui
㖔	ikuuuojiku
㖕	ikujujouui
㖖	jujouuiiku
㖗	ikuikiojuk
㖘	ikuuouukoj
㖙	koikuikuok
㖚	oiukjikuok
㖛	uiikuikuok
㖜	juikuikuok
㖝	uuiojikuok
㖞	ikuikuikoj
㖟	ikuojjojkkj
㖠	ikuuojuuioj
㖡	ikujuoiokjj
㖢	ikujuoiuiuuk
㖣	ikujujouiku
㖤	ikukkjjojki
㖥	ikuikouioju
㖦	ikuuikuuioj
㖧	ikuokukikuu
㖨	ikukkukjjoj
㖩	ikuuiiuuukj
㖪	ikuuikuukjo
㖫	ikuuiuokokj
㖬	ikuoiukuukj
㖭	ikuuuojkjjj
㖮	ikuojuikuii
㖯	ikuikuikuok
㖰	ikuokikuiku
㖱	juoiokjjiku
㖲	kouikuikuok
㖳	jjjkouikuok
㖴	ikuiuuiokoo
㖵	ikuikuuuuoj
㖶	ikuuikokuuiu
㖷	ikuikuuuiuoj
㖸	ikuiukoukuku
㖹	ikuojkoikiiu
㖺	ikuuuuojikuu
㖻	ikukjkkouioj
㖼	ikuuiiuuuioj
㖽	ikuuoikuuuoj
㖾	ikuikujoukio
㖿	ikuuiiuuukki
㗀	ikuikkjkkjki
㗁	ikuikuikuuuk
㗂	ikukojoikuuu
㗃	ikukukukikuu
㗄	ikuikiiujuko
㗅	ikuuiikuokjj
㗆	ikuuiiuikuui
㗇	ikukuiuukukj
㗈	ikukjokuuiko
㗉	uuuikookjiku
㗊	ikuikuikuiku
㗋	ikuokuoouuoj
㗌	ikujjkukjuiu
㗍	ikuouiojikuu
